query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M01CV18R	lcl|tps:THAPSDRAFT_8571*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CV3DU	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01CV5DF	glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	K00820	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CVAA9	lcl|pti:PHATR_7088	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CVAYU	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVC9C	NADH dehydrogenase	K03885	Oxidative phosphorylation	bacillariaceae	Phaeodactylum
lcl|FLDA00M01CVCL7	lcl|pti:PHATR_10209	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CVHLW	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVI5S	ubiquitin-conjugating enzyme E2 D/E	K06689	Ubiquitin mediated proteolysis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVJIR	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01CVL5U	large subunit ribosomal protein L7e	K02937	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVL9B	geranylgeranyl reductase	K10960	Terpenoid backbone biosynthesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01CVMJN	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVPMF	CCR4-NOT transcription complex subunit 3	K12580	RNA degradation	bacillariaceae	Thalassiosira
lcl|FLDA00M01CVSHJ	lcl|pti:PHATRDRAFT_33839*	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01CVSL9	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CVSMF	GH15714 gene product from transcript GH15714-RA	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01CVSRG	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CVVVK	actin beta/gamma 1	K05692	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CW5J4	lcl|pti:PHATRDRAFT_48525	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01CW64N	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01CW846	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01CWEUH	large subunit ribosomal protein L8e	K02938	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01CWIHI	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWISC	large subunit ribosomal protein L13Ae	K02872	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWLEG	cell division cycle protein 48	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWN6K	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWNV2	lcl|pti:PHATRDRAFT_10747	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWPQU	elongation factor EF-3	K03235	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CWRLX	large subunit ribosomal protein L32e	K02912	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWXED	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWXHR	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CWZ66	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CX0PH	large subunit ribosomal protein L21e	K02889	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01CX3FS	V-type H+-transporting ATPase subunit F	K02151	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CX46S	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CX9B7	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CX9SS	geranylgeranyl reductase	K10960	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CXA3J	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CXAXB	translation initiation factor eIF-5A	K03263	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CXGL7	3-dehydroquinate synthase	K01735	"Phenylalanine, tyrosine and tryptophan biosynthesis"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01CXHQI	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CXKCA	lcl|tps:THAPS_263313	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CXKQ0	sulfate adenylyltransferase	K00958	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CXT0P	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01CY2MU	S-adenosylmethionine synthetase	K00789	Cysteine and methionine metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01CY47S	small subunit ribosomal protein S5e	K02989	Ribosome	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01CYFR8	large subunit ribosomal protein L15e	K02877	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CYM54	nucleoside-diphosphate kinase	K00940	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CYN6C	isocitrate dehydrogenase (NAD+)	K00030	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01CYQHG	rab-type small G protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CYRP1	canine-like rab-type small G protein	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CYV4D	glyceraldehyde 3-phosphate dehydrogenase	K00134	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01CZ0RN	lcl|tps:THAPSDRAFT_27377	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CZ288	structural maintenance of chromosome 3 (chondroitin sulfate	K06669	Oocyte meiosis	bacillariaceae	Phaeodactylum
lcl|FLDA00M01CZ302	lcl|pti:PHATRDRAFT_49287*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZ73A	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	K03775	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CZFMC	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZGZY	silicic acid transporter	ARM003	Environmental Information Processing; Membrane Transport; ABC transporters	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01CZLOD	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZN9V	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZNQI	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZO2S	large subunit ribosomal protein L38e	K02923	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZO3B	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01CZT2C	bifunctional aspartokinase/homoserine dehydrogenase 1 [EC:2.7.2.4	K12524	"Glycine, serine and threonine metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01CZT6S	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D000J	porphobilinogen synthase	K01698	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D0H4D	uroporphyrinogen decarboxylase	K01599	Porphyrin and chlorophyll metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D0I9I	solute carrier family 25 (mitochondrial carrier; adenine nucleotide	K05863	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01D0V3D	oxidoreductase domain protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D0XE2	"coatomer protein complex, subunit alpha (xenin)"	K05236	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D0Z3D	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D1643	molecular chaperone DnaJ	K03686	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D1IE5	V-type H+-transporting ATPase subunit B	K02147	Oxidative phosphorylation	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01D1IPN	F-type H+-transporting ATPase subunit gamma	K02115	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D1O45	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D1WPT	flavodoxin I	K03839	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D20B7	cytochrome b6-f complex iron-sulfur subunit	K02636	Photosynthesis	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D224E	lcl|vvi:100242961	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D2564	tryptophanyl-tRNA synthetase	K01867	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D29CE	3-isopropylmalate dehydrogenase	K00052	"Valine, leucine and isoleucine biosynthesis"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D2M4R	"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	K00697	Starch and sucrose metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D2NAG	20S proteasome subunit beta 5	K02737	Proteasome	bacillariaceae	Thalassiosira
lcl|FLDA00M01D2ULZ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01D2WNB	5-methlytetrahydropteroyltriglutamate-homocysteine methyltransferease	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01D2WP2	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D2Z2N	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D308E	geranylgeranyl reductase	K10960	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D35QN	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D39GQ	large subunit ribosomal protein L32e	K02912	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D3CN0	cytochrome c	K08738	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D3FUJ	small subunit ribosomal protein S13e	K02953	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D3I27	lcl|pti:PHATRDRAFT_9200	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D3KYK	ATP-dependent RNA helicase	K11594	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01D3LUJ	small subunit ribosomal protein S4e	K02987	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D3M1V	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D3MUL	ribonucleoside-diphosphate reductase subunit M2	K10808	Purine metabolism	bacillariaceae	Phaeodactylum
lcl|FLDA00M01D3MV7	lcl|pti:PHATRDRAFT_17300	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D3NE4	26S proteasome regulatory subunit T1	K03061	Proteasome	bacillariaceae	Thalassiosira
lcl|FLDA00M01D3WVK	calmodulin	K02183	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D40IZ	pyruvate dehydrogenase E1 component subunit alpha	K00161	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D4158	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D41TU	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D4226	ribose 5-phosphate isomerase A	K01807	Pentose phosphate pathway	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D4270	small subunit ribosomal protein S15Ae	K02957	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01D47N3	sedoheptulose-bisphosphatase	K01100	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D47RS	calcium/calmodulin-dependent protein kinase I	K08794	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D49WI	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D4AMM	lcl|pti:PHATRDRAFT_45771	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D4C77	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D4IB3	extrinsic protein in photosystem II	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D4NG0	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D4UP5	large subunit ribosomal protein LP1	K02942	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01D4Z2Q	nucleoside-diphosphate kinase	K00940	Purine metabolism	bacillariaceae	Phaeodactylum
lcl|FLDA00M01D516Z	nucleoside-diphosphate kinase	K00940	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D57QS	phosphoglucomutase	K01835	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D59UB	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D5AAY	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D5ACO	peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	K03767	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D5BAE	large subunit ribosomal protein L38e	K02923	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01D5GDG	ypt1-like rab-type small G protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D5HHO	large subunit ribosomal protein L27Ae	K02900	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D5NQH	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D5SHR	fatty acid desaturase 3 (delta-6 desaturase)	K10225	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01D5SS2	coproporphyrinogen III oxidase	K00228	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D5X2R	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D5XO3	triosephosphate isomerase (TIM)	K01803	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D5Y6S	"RS1, ribosomal protein 1"	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D65JV	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]	K03942	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D6714	lcl|pti:PHATRDRAFT_54960	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D6AXS	large subunit ribosomal protein L27Ae	K02900	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D6CJ8	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D6COL	lcl|tps:THAPSDRAFT_7365	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D6HCX	26S proteasome regulatory subunit N12	K03031	Proteasome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D6O2E	small subunit ribosomal protein S30e	K02983	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D6SMC	lcl|pti:PHATRDRAFT_45411	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D6U41	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D6ULT	elongation factor EF-3	K03235	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D6UPA	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D6WNT	pmp22 family protein	K13348	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01D74UZ	GH21177	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D75FN	porphobilinogen synthase	K01698	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D7AJS	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D7KCS	ABC-2 type transport system permease protein	K01992	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D7MVG	phosphoglycerate mutase	K01834	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D7WB2	lcl|tps:THAPSDRAFT_11487	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D7YJA	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01D83MD	small subunit ribosomal protein S20e	K02969	Ribosome	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01D843U	ferredoxin-nitrite reductase	K00366	Nitrogen metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D84UV	magnesium chelatase	K03403	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01D87XC	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8BJW	large subunit ribosomal protein L15e	K02877	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8C6J	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01D8CII	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8LP2	2-isopropylmalate synthase	K01649	"Valine, leucine and isoleucine biosynthesis"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D8MWV	"clathrin, heavy polypeptide"	K04646	Endocytosis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8MZV	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D8PMR	ubiquitin-conjugating enzyme E2 G1	K10575	Ubiquitin mediated proteolysis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8VKY	protochlorophyllide reductase	K00218	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D8XE5	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D91DQ	ATP-dependent Lon protease	K01338	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D94I3	"guanine nucleotide binding protein (G protein), alpha 12"	K04346	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D96LJ	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D9BW7	small subunit ribosomal protein S5e	K02989	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01D9D3E	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D9E3M	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01D9EQ9	putative ATP-binding cassette transporter	K02471	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D9H2M	cell division cycle protein 48	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D9HET	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D9IZA	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01D9MX6	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01D9W3H	photosystem II PsbO protein	K02716	Photosynthesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01D9WDP	Ras-related protein Rab-11A	K07904	Endocytosis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DA5S1	small subunit ribosomal protein S4e	K02987	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DA8WZ	flavodoxin I	K03839	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01DA9GG	GE16472 gene product from transcript GE16472-RA	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DA9VX	large subunit ribosomal protein L24e	K02896	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01DADV1	calmodulin	K02183	Phosphatidylinositol signaling system	bacillariaceae	Fragilariopsis
lcl|FLDA00M01DAGHG	translation initiation factor eIF-5	K03262	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DAMVK	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01DAPZX	magnesium chelatase	K03403	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01DARCO	elongation factor EF-3	K03235	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01DAXJW	magnesium chelatase	K03403	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01DB1VA	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01DB2KZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation	K06630	Oocyte meiosis	bacillariaceae	Fragilariopsis
lcl|FLDA00M01DB5BH	YggT family protein	K02221	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01DBI0P	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DBJG2	zinc metalloprotease ZmpB	K08643	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DBNA7	GJ23573 gene product from transcript GJ23573-RA	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DBVSW	large subunit ribosomal protein L29e	K02905	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01DBX9X	tubulin alpha	K07374	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01DC296	pre-mRNA-processing factor 8	K12856	Spliceosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DCHYE	large subunit ribosomal protein L5e	K02932	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01DCIK2	ubiquinol-cytochrome c reductase iron-sulfur subunit	K00411	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M01DCKCC	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DCLNV	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DCNCX	enolase	K01689	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DCRTE	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DD05T	actin 2	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DD4S6	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DD5PM	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DD5VS	lcl|tps:THAPSDRAFT_21640	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01DDL06	small subunit ribosomal protein S26e	K02976	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DDMGZ	lcl|pti:PHATRDRAFT_bd1741	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01DDMQS	UDP-sulfoquinovose synthase	K06118	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01DDTGT	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DE07B	small subunit ribosomal protein S15Ae	K02957	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DE0PZ	magnesium chelatase subunit ChlD	K03404	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DE3ZZ	RNA polymerase sigma factor	K03093	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DE63R	tubulin beta	K07375	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01DEJA4	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DELTV	phosphoribulokinase	K00855	Metabolic pathways	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01DEN6O	hemolysin	K10948	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01DEOBB	probable eh domain-containing protein	NA	NA	bacillariaceae	Thalassiosira
